keywords,answer_en,answer_ta,answer_hi,answer_te,answer_kn
"tomato planting season,when to plant tomato,best time to sow tomato",Plant tomatoes at the start of the warm season: in spring for temperate regions and just after the last frost. Use seedlings and transplant when they have 4–6 true leaves; maintain warm days (25–30°C) for best growth.,"தக்காளி விதைப்பதை வெப்ப பருவ தொடக்கத்தில் செய்யுங்கள்: மிதமான பகுதிகளில் வसந்தத்தில், கடைசி பனியிலிருந்து பிறகு விதைக்க வேண்டும். 4–6 உண்மையான இலைகள் இருக்கும் போது மாற்று நட்டு; 25–30°C பகல் வெப்பநிலையை பராமரிக்கவும்.",टमाटर की बुवाई गर्म मौसम की शुरुआत में करें: समशीतोष्ण क्षेत्रों में वसंत में और अंतिम ठंढ के बाद रोपण करें। 4–6 असली पत्तियों वाले पौधों को प्रत्यारोपित करें; दिन का तापमान 25–30°C रखें।,టమాటా నాటడాన్ని వెచ్చని కాలం మొదట్లో చేయండి: సమశీతోష్ణ ప్రాంతాలలో వసంతకాలంలో మరియు చివరి మంచు తర్వాత నాటండి. 4–6 నిజమైన ఆకులు ఉన్నప్పుడు మొక్కలను మార్చి నాటండి; మంచి పెరుగుదల కోసం పగటి ఉష్ణోగ్రత 25–30°C ఉండేలా చూసుకోండి.,ಟೊಮೆಟೊ ಸಸಿಗಳನ್ನು ಬೆಚ್ಚಗಿನ ಋತುವಿನ ಆರಂಭದಲ್ಲಿ ನೆಡಬೇಕು: ಸಮಶೀತೋಷ್ಣ ಪ್ರದೇಶಗಳಲ್ಲಿ ವಸಂತಕಾಲದಲ್ಲಿ ಮತ್ತು ಕೊನೆಯ ಹಿಮದ ನಂತರ. 4–6 ನಿಜವಾದ ಎಲೆಗಳನ್ನು ಹೊಂದಿರುವಾಗ ಸಸಿಗಳನ್ನು ಕಸಿ ಮಾಡಿ; ಉತ್ತಮ ಬೆಳವಣಿಗೆಗಾಗಿ ಹಗಲಿನಲ್ಲಿ 25–30°C ತಾಪಮಾನವನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಿ.
"tomato weather,best weather for tomato,tomato climate","Tomatoes prefer warm, sunny days (25–30°C) and cool nights (18–20°C). Avoid frost and prolonged heavy rains which can cause blossom drop and disease.",தக்காளிக்கு 25–30°C பகல் வெப்பநிலை மற்றும் 18–20°C இரவு வெப்பநிலை பிடிக்கும். பனி மற்றும் நீண்ட மழையை தவிர்க்கவும்; இது மலர்ச்சி சிதைந்தல் மற்றும் நோய்களை உண்டாக்கும்.,टमाटर को 25–30°C दिन और 18–20°C रात के तापमान पसंद हैं। ओलावृष्टि और लगातार भारी बारिश से बचें।,"టమాటాలకు వెచ్చని, ఎండతో కూడిన పగటి ఉష్ణోగ్రతలు (25–30°C) మరియు చల్లని రాత్రులు (18–20°C) అంటే ఇష్టం. మంచు మరియు ఎక్కువ కాలం ఉండే భారీ వర్షాలను నివారించండి, ఇవి పూలు రాలడానికి మరియు వ్యాధికి కారణమవుతాయి.","ಟೊಮೆಟೊಗಳು ಬೆಚ್ಚಗಿನ, ಬಿಸಿಲಿನ ದಿನಗಳನ್ನು (25–30°C) ಮತ್ತು ತಂಪಾದ ರಾತ್ರಿಗಳನ್ನು (18–20°C) ಬಯಸುತ್ತವೆ. ಹಿಮ ಮತ್ತು ದೀರ್ಘಕಾಲದ ಭಾರೀ ಮಳೆಯನ್ನು ತಪ್ಪಿಸಿ, ಇದು ಹೂವು ಉದುರುವಿಕೆ ಮತ್ತು ರೋಗಕ್ಕೆ ಕಾರಣವಾಗಬಹುದು."
"tomato irrigation,how to irrigate tomato,water for tomato",Irrigate tomatoes regularly to keep soil evenly moist; avoid waterlogging. Use drip irrigation for water efficiency and water at the base to reduce foliar diseases.,தக்காளிக்கு மண் சமமாக மூடராமல் நீர்ப்பாசனம் செய்யுங்கள்; நீர் நிறைவாக இருக்கவேண்டாம். நீர் திறமைக்காக டிரிப் பாசனம் பயன்படுத்து; இலை நோய்களை குறைக்க அடிப்படையில் நீர் கொடுங்கள்.,टमाटर को नियमित रूप से सींचें ताकि मिट्टी समान रूप से नम रहे; जलभराव न होने दें। ड्रिप सिंचाई उपयोगी है और पत्तियों पर पानी न डालें।,మట్టిని సమానంగా తడిగా ఉంచడానికి టమాటాలకు క్రమం తప్పకుండా నీరు పెట్టండి; నీరు నిల్వ ఉండకుండా చూసుకోండి. నీటి సామర్థ్యం కోసం డ్రిప్ ఇరిగేషన్‌ను ఉపయోగించండి మరియు ఆకుల వ్యాధులను తగ్గించడానికి మొదలు వద్ద నీరు ఇవ్వండి.,ಮಣ್ಣನ್ನು ಸಮವಾಗಿ ತೇವವಾಗಿಡಲು ಟೊಮೆಟೊಗಳಿಗೆ ನಿಯಮಿತವಾಗಿ ನೀರಾವರಿ ಮಾಡಿ; ನೀರು ನಿಲ್ಲುವುದನ್ನು ತಪ್ಪಿಸಿ. ನೀರು ಉಳಿತಾಯಕ್ಕಾಗಿ ಹನಿ ನೀರಾವರಿ ಬಳಸಿ ಮತ್ತು ಎಲೆಗಳ ರೋಗಗಳನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಬುಡಕ್ಕೆ ನೀರು ಹಾಕಿ.
"tomato fertilizer,fertilizer for tomato,tomato nutrients","Apply balanced fertilizer based on soil test. A typical schedule is N-P-K split applications, avoiding excess nitrogen near harvest; organic compost improves fruit quality.",மண் சோதனை அடிப்படையில் சமநிலை உரம் பயன்படுத்தவும். பொதுவாக N-P-K பிரிக்கப்பட்ட முறை பயன்படுத்த வேண்டும்; அறுவடைக்கு அருகில் அதிக நைட்ரஜனைத் தவிர்க்கவும்; கம்போஸ்ட் பழத்தின் தரத்தை மேம்படுத்தும்.,मिट्टी परीक्षण के आधार पर संतुलित उर्वरक दें। सामान्यतः N-P-K को विभाजित मात्रा में दें; कटाई के पास अधिक नाइट्रोजन से बचें; जैविक खाद फल की गुणवत्ता बढ़ाती है।,"మట్టి పరీక్ష ఆధారంగా సమతుల్య ఎరువును ఉపయోగించండి. సాధారణంగా N-P-K ను విడదీసి వేయండి, కోతకు దగ్గరగా అదనపు నైట్రోజన్‌ను నివారించండి; సేంద్రీయ కంపోస్ట్ పండ్ల నాణ్యతను మెరుగుపరుస్తుంది.","ಮಣ್ಣಿನ ಪರೀಕ್ಷೆಯ ಆಧಾರದ ಮೇಲೆ ಸಮತೋಲಿತ ಗೊಬ್ಬರವನ್ನು ಬಳಸಿ. ವಿಶಿಷ್ಟ ವೇಳಾಪಟ್ಟಿಯೆಂದರೆ N-P-K ವಿಭಜಿತ ಅನ್ವಯಗಳು, ಕೊಯ್ಲಿಗೆ ಹತ್ತಿರವಾಗಿರುವಾಗ ಅಧಿಕ ಸಾರಜನಕವನ್ನು ತಪ್ಪಿಸಿ; ಸಾವಯವ ಮಿಶ್ರಗೊಬ್ಬರವು ಹಣ್ಣಿನ ಗುಣಮಟ್ಟವನ್ನು ಸುಧಾರಿಸುತ್ತದೆ."
"tomato pests,tomato diseases,tomato pest management","Common pests: fruit borer, whitefly and leaf miner. Use integrated pest management: monitor, use pheromone traps, neem oil, and release beneficial insects. Remove severely infested plants.","பொதுவான பூச்சிகள்: பழச்சிவப்பு, வெள்ளை ஈ, இலை சுருங்கல். ஒருங்கிணைந்த பூச்சி மேலாண்மை (IPM) பின்பற்றுங்கள்: கண்காணிப்பு, பெரோமோன் காப்புகள், நீம் எண்ணெய் மற்றும் பயனுள்ள பூச்சிகளை அறுவை விடுங்கள்.","आम कीट: फल छेदक, सफेद मक्खी, पत्ती खनन करने वाले। IPM अपनाएँ: मॉनिटरिंग, फेरोमोन ट्रैप, नीम तेल और उपयोगी कीट छोड़ें।","సాధారణ కీటకాలు: పండు తొలిచే పురుగు, తెల్లదోమ మరియు ఆకు తొలిచే పురుగు. సమగ్ర కీటక నిర్వహణను ఉపయోగించండి: పర్యవేక్షణ, ఫెరోమోన్ ట్రాప్‌లు, వేప నూనె మరియు ప్రయోజనకరమైన కీటకాలను విడుదల చేయండి. తీవ్రంగా సోకిన మొక్కలను తొలగించండి.","ಸಾಮಾನ್ಯ ಕೀಟಗಳು: ಕಾಯಿ ಕೊರಕ, ಬಿಳಿ ನೊಣ ಮತ್ತು ಎಲೆ ಕೊರಕ. ಸಮಗ್ರ ಕೀಟ ನಿರ್ವಹಣೆಯನ್ನು ಬಳಸಿ: ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಿ, ಫೆರೋಮೋನ್ ಬಲೆಗಳು, ಬೇವಿನ ಎಣ್ಣೆ ಬಳಸಿ, ಮತ್ತು ಪ್ರಯೋಜನಕಾರಿ ಕೀಟಗಳನ್ನು ಬಿಡುಗಡೆ ಮಾಡಿ. ತೀವ್ರವಾಗಿ ಪೀಡಿತ ಸಸ್ಯಗಳನ್ನು ತೆಗೆದುಹಾಕಿ."
"brinjal planting,eggplant planting season,when to plant brinjal",Plant brinjal in warm seasons; seedlings transplant after 6–8 weeks. Keep spacing to allow airflow and reduce fungal issues.,வெஞ்ஞல் வெப்ப பருவங்களில் வளர்க்கவும்; 6–8 வாரங்கள் கழித்து மாற்று நட்டு. காற்றோட்டம் ஏற்பட இடைவெளி வைக்கவும்.,बैंगन गर्म मौसम में लगाएँ; 6–8 सप्ताह बाद प्रत्यारोपित करें। हवा का प्रवाह सुनिश्चित करने के लिए दूरी रखें।,వంగ మొక్కలను వెచ్చని కాలంలో నాటండి; 6–8 వారాల తర్వాత మొక్కలను మార్చి నాటండి. గాలి ప్రసరణకు మరియు శిలీంధ్ర సమస్యలను తగ్గించడానికి సరైన దూరం ఉంచండి.,ಬದನೆಕಾಯಿ ಸಸಿಗಳನ್ನು ಬೆಚ್ಚಗಿನ ಋತುಗಳಲ್ಲಿ ನೆಡಬೇಕು; 6–8 ವಾರಗಳ ನಂತರ ಸಸಿಗಳನ್ನು ಕಸಿ ಮಾಡಿ. ಗಾಳಿಯ ಹರಿವಿಗೆ ಮತ್ತು ಶಿಲೀಂಧ್ರ ಸಮಸ್ಯೆಗಳನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಅಂತರವನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಿ.
"brinjal pests,eggplant pests,brinjal fruit borer","Brinjal fruit borer is serious: adopt pheromone traps, timely insecticide application as per extension advice, and remove infested fruits. Crop rotation helps long-term control.",வெஞ்ஞலில் பழச்சிவப்பு பிரச்சனை: பெரோமோன் காப்புகள் மற்றும் பரிந்துரைக் கூடிய நேரத்தில் பூச்சிக் கொல்லி பயன்படுத்து; பாதிக்கப்பட்ட பழங்களை அகற்று.,बैंगन में फल छेदक समस्या: फेरोमोन ट्रैप और समय पर कीटनाशक का उपयोग करें; संक्रमित फलों को हटाएँ।,"వంకాయలో పండు తొలిచే పురుగు తీవ్రమైనది: ఫెరోమోన్ ట్రాప్‌లు, సలహా మేరకు సరైన సమయంలో పురుగుమందుల వాడకం మరియు సోకిన పండ్లను తొలగించండి. పంట మార్పిడి దీర్ఘకాలిక నియంత్రణకు సహాయపడుతుంది.","ಬದನೆಕಾಯಿ ಕಾಯಿ ಕೊರಕ ಗಂಭೀರವಾಗಿದೆ: ಫೆರೋಮೋನ್ ಬಲೆಗಳನ್ನು ಅಳವಡಿಸಿ, ವಿಸ್ತರಣಾ ಸಲಹೆಯಂತೆ ಸಮಯಕ್ಕೆ ಸರಿಯಾಗಿ ಕೀಟನಾಶಕವನ್ನು ಅನ್ವಯಿಸಿ, ಮತ್ತು ಪೀಡಿತ ಹಣ್ಣುಗಳನ್ನು ತೆಗೆದುಹಾಕಿ. ಬೆಳೆ ಸರದಿ ದೀರ್ಘಕಾಲೀನ ನಿಯಂತ್ರಣಕ್ಕೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ."
"okra planting,ladies finger planting,when to plant okra",Okra grows well in warm weather; sow seeds in rows after the last frost and thin seedlings for proper spacing. Regular weeding and mulching improve yields.,வெப்பமான வானிலையில் வெந்நீலா சிறப்பாக வளரும்; கடைசி பனியிற்சியைத் தொடர்ந்து விதைகள் விதைக்கும் மற்றும் இடைவெளியை சரி செய்ய அகற்றவும்.,भिंडी गर्म मौसम में अच्छी होती है; अंतिम ठंढ के बाद बुवाई करें और उचित दूरी रखें।,బెండకాయ వెచ్చని వాతావరణంలో బాగా పెరుగుతుంది; చివరి మంచు తర్వాత విత్తనాలను వరుసలలో విత్తండి మరియు సరైన దూరం కోసం మొలకలను పల్చబర్చండి. క్రమం తప్పకుండా కలుపు తీయడం మరియు మల్చింగ్ దిగుబడిని మెరుగుపరుస్తాయి.,ಬೆಂಡೆಕಾಯಿ ಬೆಚ್ಚಗಿನ ವಾತಾವರಣದಲ್ಲಿ ಚೆನ್ನಾಗಿ ಬೆಳೆಯುತ್ತದೆ; ಕೊನೆಯ ಹಿಮದ ನಂತರ ಸಾಲುಗಳಲ್ಲಿ ಬೀಜಗಳನ್ನು ಬಿತ್ತಿ ಮತ್ತು ಸರಿಯಾದ ಅಂತರಕ್ಕಾಗಿ ಸಸಿಗಳನ್ನು ತೆಳುಗೊಳಿಸಿ. ನಿಯಮಿತ ಕಳೆ ತೆಗೆಯುವಿಕೆ ಮತ್ತು ಹೊದಿಕೆ ಇಳುವರಿಯನ್ನು ಸುಧಾರಿಸುತ್ತದೆ.
"okra pests,okra disease,lady finger pests",Common problems: aphids and fruit borers. Use neem spray and maintain good field hygiene. Intercropping with maize can reduce pest pressure.,பொதுவான பிரச்சனைகள்: அஃபிட்ஸ் மற்றும் பழச்சிவப்பு. நீம் தெளிப்பு மற்றும் நன்கு பராமரிப்பு செய்யவும்.,आम की समस्याएँ: एफिड्स और फल छेदक। नीम का छिड़काव करें और खेत की सफाई रखें।,సాధారణ సమస్యలు: అఫిడ్స్ మరియు పండు తొలిచే పురుగులు. వేప స్ప్రే ఉపయోగించండి మరియు మంచి క్షేత్ర పరిశుభ్రతను పాటించండి. మొక్కజొన్నతో అంతరపంట వేయడం కీటకాల పీడనాన్ని తగ్గిస్తుంది.,ಸಾಮಾನ್ಯ ಸಮಸ್ಯೆಗಳು: ಗಿಡಹೇನುಗಳು ಮತ್ತು ಕಾಯಿ ಕೊರಕಗಳು. ಬೇವಿನ ಸಿಂಪಡಣೆಯನ್ನು ಬಳಸಿ ಮತ್ತು ಉತ್ತಮ ಕ್ಷೇತ್ರದ ಸ್ವಚ್ಛತೆಯನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಿ. ಮೆಕ್ಕೆಜೋಳದೊಂದಿಗೆ ಅಂತರಬೆಳೆ ಮಾಡುವುದು ಕೀಟಗಳ ಒತ್ತಡವನ್ನು ಕಡಿಮೆ ಮಾಡಬಹುದು.
"potato planting,when to plant potato,potato sowing time","Plant potatoes in cool seasons with well-drained loamy soils. Use certified seed tubers, plant at correct depth, and hill soil around stems after emergence.",குளிர் பருவத்தில் சிறந்த வடிகால் கொண்ட லோமி மண்ணில் உருளைக்கிழங்கு நடுத்தலை செய்யுங்கள். சான்றுத் தகுதியான விதைகளை பயன்படுத்தவும்.,आलू ठंडे मौसम में अच्छी पैदावार देता है; प्रमाणित बीज कंदों का उपयोग करें और सही गहराई पर लगाएँ।,"బంగాళాదుంపలను చల్లని కాలంలో మంచి నీటి పారుదల గల లోమీ నేలల్లో నాటండి. ధృవీకరించబడిన విత్తన దుంపలను ఉపయోగించండి, సరైన లోతులో నాటండి మరియు మొలకెత్తిన తర్వాత కాండం చుట్టూ మట్టిని చేర్చండి.","ಸರಿಯಾದ ನೀರು ಬಸಿದು ಹೋಗುವ ಲೋಮಿ ಮಣ್ಣುಗಳಲ್ಲಿ ತಂಪಾದ ಋತುಗಳಲ್ಲಿ ಆಲೂಗಡ್ಡೆಯನ್ನು ನೆಡಬೇಕು. ಪ್ರಮಾಣೀಕೃತ ಬೀಜ ಗೆಡ್ಡೆಗಳನ್ನು ಬಳಸಿ, ಸರಿಯಾದ ಆಳದಲ್ಲಿ ನೆಡಬೇಕು ಮತ್ತು ಹೊರಹೊಮ್ಮಿದ ನಂತರ ಕಾಂಡಗಳ ಸುತ್ತಲೂ ಮಣ್ಣನ್ನು ಏರಿಸಬೇಕು."
"potato pests,potato late blight,potato disease control","Late blight is major: use certified seed, apply recommended fungicides at early signs, and remove infected plants. Maintain field drainage to reduce disease risk.",விலையீட்டுப் பூச்சி (late blight) பெரியது: சான்று விதைகள் மற்றும் நோய் ஆரம்பத்தில் பரிந்துரைக்கப்பட்ட பூச்சி மருந்துகளைப் பயன்படுத்தவும்.,लेट ब्लाइट गंभीर रोग है: प्रमाणित बीज और शुरुआती लक्षणों पर कवकनाशी लगाएँ।,"లేట్ బ్లైట్ ప్రధాన సమస్య: ధృవీకరించబడిన విత్తనాన్ని ఉపయోగించండి, ప్రారంభ సంకేతాల వద్ద సిఫార్సు చేయబడిన శిలీంద్రనాశకాలను వాడండి మరియు సోకిన మొక్కలను తొలగించండి. వ్యాధి ప్రమాదాన్ని తగ్గించడానికి క్షేత్ర పారుదల నిర్వహించండి.","ಲೇಟ್ ಬ್ಲೈಟ್ ಪ್ರಮುಖವಾಗಿದೆ: ಪ್ರಮಾಣೀಕೃತ ಬೀಜವನ್ನು ಬಳಸಿ, ಆರಂಭಿಕ ಚಿಹ್ನೆಗಳಲ್ಲಿ ಶಿಫಾರಸು ಮಾಡಿದ ಶಿಲೀಂಧ್ರನಾಶಕಗಳನ್ನು ಅನ್ವಯಿಸಿ, ಮತ್ತು ಸೋಂಕಿತ ಸಸ್ಯಗಳನ್ನು ತೆಗೆದುಹಾಕಿ. ರೋಗದ ಅಪಾಯವನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಕ್ಷೇತ್ರದ ಒಳಚರಂಡಿಯನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಿ."
"onion planting,when to plant onion,onion sowing season",Onion prefers cool season with well-drained soils. Use transplants or direct seed depending on variety; ensure adequate nitrogen early and potassium towards bulb formation.,வெள்ளரிக்காய் (இஞ்சி) குளிர் பருவத்தில் மற்றும் நல்ல வடிகால் கொண்ட மண்ணை விரும்பும். வகைப் பொருத்தமாக மாற்று விதை அல்லது நேரடி விதை பயன்படுத்தவும்.,प्याज़ ठंडे मौसम में अच्छी होती है; किस्म के अनुसार प्रत्यारोपण या सीधा बुवाई करें। नाइट्रोजन पहले और पोटाशियम बल्ब बनने के समय दें।,ఉల్లిపాయ చల్లని కాలంలో మంచి నీటి పారుదల గల నేలలను ఇష్టపడుతుంది. రకాన్ని బట్టి మార్చి నాటడం లేదా నేరుగా విత్తడం చేయండి; బల్బ్ ఏర్పడే దశలో తగినంత నైట్రోజన్ ప్రారంభంలో మరియు పొటాషియం ఉండేలా చూసుకోండి.,ಈರುಳ್ಳಿ ಚೆನ್ನಾಗಿ ಬಸಿದು ಹೋಗುವ ಮಣ್ಣುಗಳೊಂದಿಗೆ ತಂಪಾದ ಋತುವನ್ನು ಆದ್ಯತೆ ನೀಡುತ್ತದೆ. ವಿವಿಧತೆಯನ್ನು ಅವಲಂಬಿಸಿ ಕಸಿ ಸಸಿಗಳನ್ನು ಅಥವಾ ನೇರ ಬೀಜವನ್ನು ಬಳಸಿ; ಆರಂಭದಲ್ಲಿ ಸಾಕಷ್ಟು ಸಾರಜನಕ ಮತ್ತು ಗೆಡ್ಡೆ ರಚನೆಯ ಕಡೆಗೆ ಪೊಟ್ಯಾಸಿಯಮ್ ಅನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ.
"onion pests,onion thrips,onion disease","Onion thrips and fungal rots cause yield loss. Use tolerant varieties, avoid excessive irrigation, and apply recommended insecticides when threshold crossed.",வெள்ளரிக் கீறுபவர்கள் மற்றும் பூச்சிய நோய்கள் உற்பத்தி குறைவு செய்யும். சகிப்புத் திறன் உடைய வகைகள் உபயோகிக்கவும்.,प्याज़ में थ्रिप्स और फफूंदीय रोग होते हैं। सहनशील किस्में और नियंत्रित सिंचाई अपनाएँ।,"ఉల్లిపాయలో నల్లి పురుగు మరియు శిలీంద్రాల తెగుళ్లు దిగుబడి నష్టానికి కారణమవుతాయి. తట్టుకునే రకాలను ఉపయోగించండి, అధిక నీటిపారుదలని నివారించండి మరియు పరిమితి దాటినప్పుడు సిఫార్సు చేయబడిన పురుగుమందులను ఉపయోగించండి.","ಈರುಳ್ಳಿ ಥ್ರಿಪ್ಸ್ ಮತ್ತು ಶಿಲೀಂಧ್ರ ಕೊಳೆತಗಳು ಇಳುವರಿ ನಷ್ಟಕ್ಕೆ ಕಾರಣವಾಗುತ್ತವೆ. ಸಹಿಷ್ಣು ಪ್ರಭೇದಗಳನ್ನು ಬಳಸಿ, ಅತಿಯಾದ ನೀರಾವರಿಯನ್ನು ತಪ್ಪಿಸಿ, ಮತ್ತು ಮಿತಿ ಮೀರಿದಾಗ ಶಿಫಾರಸು ಮಾಡಿದ ಕೀಟನಾಶಕಗಳನ್ನು ಅನ್ವಯಿಸಿ."
